Ferro			
4			
X			
Y			
Z			
Fe (%)			
162	155	619.5	53.1
162	155	594.1	47.9
162	155	582.2	52.5
108.8	248.2	693.4	47.5
106	253	683.7	41.5
27	201	682.5	55.1
27	201	649.6	52.2
78	109	594.1	47.7
1798	1172.5	404.8	61.2
400	30	577.1	40
647.5	113	556.3	51.6
647.5	113	541.3	46.9
647.5	113	526.3	44.5
647.5	113	511.3	44.3
647.5	113	499.7	38.7
543.5	117.5	580.5	52.1
543.5	117.5	565.5	50.1
543.5	117.5	552	45.6
543.5	117.5	533	46
543.5	117.5	501.4	49.4
543.5	117.5	486.4	42.4
543.5	117.5	459.6	33.4
1353.4	913	452.6	57
1353.4	913	437.6	56.2
1353.4	913	425.7	55.8
1353.4	913	389.1	52.2
1353.4	913	374.1	54.7
1353.4	913	341.4	55.5
1353.4	913	326.4	54.8
1353.4	913	311.4	50.9
1353.4	913	298.3	53.8
1353.4	913	273.9	34.5
1353.4	913	255.2	40.8
1353.4	913	239.7	37.5
1353.4	913	205.5	42.3
1187	822	454.3	59.2
1187	822	439.3	58.6
1187	822	424.3	54.5
1187	822	409.3	47.9
1187	822	394.3	52.9
1187	822	380.8	53
1187	822	363.1	50.3
1187	822	348.1	48.9
1187	822	333.1	46.2
1187	822	319.3	48.7
1187	822	250.3	44
1074.7	988.6	531.5	39.1
1074.7	988.6	516.5	39.1
1074.7	988.6	501.5	39.7
1074.7	988.6	360.3	39.6
1074.7	988.6	345.3	39
1133	676	472.5	54.7
1133	676	427.1	51.8
1133	676	412.1	47.5
1133	676	394.4	47.6
1133	676	377.9	49.4
1133	676	362.9	49.9
1133	676	347.9	48.4
1133	676	332.9	49.7
1133	676	317.9	57.9
1133	676	304.1	50.8
1133	676	263.1	55.8
1133	676	248.1	59.3
1133	676	233.1	58
1133	676	218.1	49.9
1133	676	195.8	48.6
1049	853	482.5	46.1
1049	853	467.5	45.6
1049	853	452.5	44.1
1049	853	438.2	43.4
1049	853	423.9	40.6
1049	853	408.9	39.8
1049	853	378.8	38.9
1049	853	366.5	38.7
1098	539.7	498.3	40.5
1098	539.7	483.3	41.1
1098	539.7	468.3	42.2
1098	539.7	453.3	42.1
1098	539.7	438.3	45.8
1098	539.7	423.3	48.3
1098	539.7	274.2	53.9
907.4	891	591.6	53.6
907.4	891	576.6	49.6
907.4	891	561.6	48.6
907.4	891	546.6	49.2
907.4	891	531.6	45.2
907.4	891	517.5	45
907.4	891	500.5	45.7
907.4	891	489.1	43.4
907.4	891	406.1	41.8
907.4	891	391.1	43.5
907.4	891	376.1	40.3
907.4	891	347.9	40.9
959.7	584.8	495.2	60.3
959.7	584.8	480.2	59.2
959.7	584.8	465.2	56
959.7	584.8	441.6	52.3
959.7	584.8	426.6	49.6
959.7	584.8	411.6	45.8
959.7	584.8	396.6	51
959.7	584.8	381.6	54
959.7	584.8	366.6	52
959.7	584.8	343.5	52.6
959.7	584.8	328.5	47.3
959.7	584.8	313.5	47.3
860.5	757	561.8	51.6
860.5	757	529.8	53.7
860.5	757	514.8	47.9
860.5	757	499.8	48.4
860.5	757	483.1	48
860.5	757	437.6	50.7
860.5	757	422.6	51.3
761	942	571.2	55.7
761	942	556.2	51.7
761	942	541.2	44
761	942	526.3	44.6
761	942	505.6	52.3
761	942	493.6	53
908.3	445.6	522.8	56.3
908.3	445.6	510.5	56.3
908.3	445.6	496.8	58
908.3	445.6	481.8	60.8
908.3	445.6	466.8	49.6
908.3	445.6	451.8	42.8
908.3	445.6	428.1	46.3
908.3	445.6	413.1	53.4
908.3	445.6	398.1	52.2
908.3	445.6	383.1	55.6
908.3	445.6	306.4	45.4
908.3	445.6	286.7	45.9
824	624.8	471.3	49.8
824	624.8	417.9	45.3
824	624.8	389.3	54.9
824	624.8	348.7	48.7
824	624.8	333.7	40.6
824	624.8	318.7	47.6
824	624.8	290.2	42.6
824	624.8	275.2	46.5
824	624.8	260.8	58.6
731.6	795.6	635.8	57.4
731.6	795.6	620.8	51.8
731.6	795.6	605.8	52.5
731.6	795.6	590.8	52
731.6	795.6	575.8	47.5
731.6	795.6	560.8	45
731.6	795.6	545.8	47.3
731.6	795.6	530.8	45.7
731.6	795.6	515.8	46.7
731.6	795.6	500.8	46.8
731.6	795.6	485.8	38.9
731.6	795.6	470.8	46.5
731.6	795.6	455.8	45.5
731.6	795.6	440.8	38.3
731.6	795.6	425.8	37.3
731.6	795.6	410.8	37.1
731.6	795.6	395.8	36.9
634.8	987.5	574.4	58
634.8	987.5	562.8	58
634.8	987.5	540.1	56.7
634.8	987.5	526.8	56.7
634.8	987.5	501.8	50
634.8	987.5	486.8	42.1
781.8	492.6	519.8	55.4
781.8	492.6	504.8	56.1
781.8	492.6	489.8	52.6
781.8	492.6	474.8	48.3
781.8	492.6	460.8	47.4
781.8	492.6	367.1	49.7
781.8	492.6	347.7	44
781.8	492.6	334	45.2
781.8	492.6	248.9	42.1
781.8	492.6	233.9	46.3
781.8	492.6	218.9	45
781.8	492.6	203.9	50
781.8	492.6	179	40.2
686.8	662.7	599.1	62.1
686.8	662.7	586.2	58.5
686.8	662.7	545.4	52.8
686.8	662.7	531.5	45.9
686.8	662.7	516.5	43
686.8	662.7	355.7	40
686.8	662.7	344.4	37.3
686.8	662.7	306.9	39.9
592	840	627.1	53.1
592	840	612.1	50.8
592	840	597.1	44.7
592	840	582.1	34.5
592	840	567.1	39.5
592	840	552.1	47.6
592	840	529.1	32.5
592	840	496.7	36.9
592	840	479	40.4
735.5	352.6	598.4	61.3
735.5	352.6	583.4	62
735.5	352.6	568.4	60.6
735.5	352.6	555.9	59.2
735.5	352.6	523.3	47.4
735.5	352.6	508.3	44.1
735.5	352.6	493.3	44.5
735.5	352.6	478.3	47.7
735.5	352.6	463.3	44.7
735.5	352.6	448.3	40.7
643.6	527.8	617.3	55.6
643.6	527.8	583.9	52.9
643.6	527.8	508.7	52.7
643.6	527.8	493.7	54.1
643.6	527.8	478.7	54.1
643.6	527.8	463.7	45
643.6	527.8	448.7	48.7
643.6	527.8	435.6	45.1
643.6	527.8	417.1	41.4
553.5	705	669.2	52.5
553.5	705	654.2	44.3
553.5	705	639.2	40.6
553.5	705	624.2	36.3
553.5	705	609.2	34.5
553.5	705	594.2	35.6
553.5	705	579.2	35.2
553.5	705	564.2	32.4
553.5	705	549.2	33.1
553.5	705	534.2	34.5
553.5	705	519.2	35.5
553.5	705	504.2	39.1
553.5	705	489.2	47.5
553.5	705	474.2	39.1
553.5	705	459.2	39.2
553.5	705	444.2	35.9
553.5	705	432.4	41
553.5	705	396.2	40.4
553.5	705	381.2	46.3
553.5	705	366.2	44.1
553.5	705	351.2	39.2
553.5	705	336.2	40
553.5	705	321.2	40.3
553.5	705	306.2	47
553.5	705	293.7	41.8
455	885	567.8	41.5
455	885	551.6	52.9
599	392.6	593.6	45.7
599	392.6	575.2	51.3
599	392.6	560.2	48.5
599	392.6	545.2	53.4
599	392.6	530.2	48.7
599	392.6	515.7	44.2
599	392.6	480.6	41.1
599	392.6	465.6	40.6
509	570	683.6	58.5
509	570	668.6	52.2
509	570	653.6	52.2
509	570	638.6	45
509	570	623.6	44.3
509	570	526.6	46.7
509	570	511.6	49.1
509	570	496.6	45.5
509	570	483.3	43.8
409.4	748.7	585.9	51.9
409.4	748.7	572.1	40
409.4	748.7	557.1	39.1
409.4	748.7	542.1	42.8
409.4	748.7	527.1	46.1
409.4	748.7	505.5	46.2
409.4	748.7	490.5	49.6
409.4	748.7	475.5	44.6
561	253.8	642	56.2
561	253.8	627.9	49.3
561	253.8	612.9	53
561	253.8	597.9	46.4
561	253.8	582.9	42
561	253.8	567.9	42
561	253.8	552.9	43.4
561	253.8	539.8	41.4
561	253.8	525.1	40.6
471.7	427.8	676.3	58.9
471.7	427.8	661.3	58.4
471.7	427.8	646.3	54.9
471.7	427.8	632.2	51
471.7	427.8	590.5	38.9
471.7	427.8	563.4	47.8
471.7	427.8	498.6	39
369	610	650.8	40.4
369	610	635.8	37.7
369	610	620.8	39.7
369	610	605.8	38.4
369	610	547.7	43.7
277.4	787.5	580.1	56.2
425.1	296.8	704.5	51.3
425.1	296.8	690.1	44.4
425.1	296.8	665.6	36.1
425.1	296.8	641.5	43.1
425.1	296.8	610.1	46.8
425.1	296.8	595.1	43.9
425.1	296.8	580.1	41.4
425.1	296.8	565.7	39.6
335.9	477	738	41.8
335.9	477	723	45.2
335.9	477	708	43
335.9	477	693	41.5
335.9	477	678	41.6
335.9	477	663	41
335.9	477	651.7	36.9
335.9	477	629.2	35.5
238	651	682.9	43.5
238	651	667.9	47.4
238	651	653.6	43.2
238	651	639.9	46.2
238	651	618.1	47.1
238	651	603.1	38
238	651	577.9	42
386.2	164.8	651	49.8
386.2	164.8	636	47.6
386.2	164.8	621	47.2
386.2	164.8	606	40.9
386.2	164.8	594.1	48.6
294.5	344	764.8	58.1
294.5	344	749.8	54.4
294.5	344	734.8	48.9
294.5	344	719.8	46.9
294.5	344	704.8	45.6
294.5	344	676.7	42.8
294.5	344	661.7	39
294.5	344	617.7	38
200	517	741.5	46
200	517	726.5	43.2
200	517	711.5	44.2
200	517	696.5	54.9
200	517	681.5	42.6
200	517	666.5	46.9
200	517	651.5	43.3
200	517	590	47
248.2	205.4	663.3	49.5
248.2	205.4	648.3	45.2
248.2	205.4	633.3	39.9
248.2	205.4	618.3	43.3
248.2	205.4	603.3	41
248.2	205.4	588.3	42.3
165	387	743.1	42
165	387	728.1	40.7
165	387	713.1	39.7
165	387	698.1	38.5
165	387	683.1	37.1
165	387	668.1	40.1
165	387	653.1	40.5
165	387	640.8	37.8
165	387	573.2	45.2
165	387	555.9	45.1
165	387	512.7	38.8
288.1	121.1	607.3	43.1
288.1	121.1	592.3	35.8
288.1	121.1	577.3	33.9
288.1	121.1	563.5	32.3
200.2	292	721.5	44.2
111.3	460.2	678	51.7
111.3	460.2	642.8	46.1
111.3	460.2	627.8	43.1
111.3	460.2	595	41.8
104.4	95	593.6	51.1
104.4	95	580.3	48.1
104.4	95	555.9	45.9
104.4	95	540.9	35.2
104.4	95	525.9	36.6
330.9	259.8	724.5	49.2
330.9	259.8	710.9	44.5
330.9	259.8	673.9	47.3
330.9	259.8	658.9	45.9
330.9	259.8	643.9	46
330.9	259.8	628.9	44.6
330.9	259.8	613.8	48.9
330.9	259.8	580.2	37.6
148.9	604.4	695.6	48.7
148.9	604.4	680.6	47.2
148.9	604.4	655.8	44
148.9	604.4	638.7	43.4
148.9	604.4	622.7	45.6
473	210	660.6	50.8
473	210	645.6	44.4
473	210	630.6	42.9
473	210	615.6	46.3
473	210	600.6	43.6
377	392	685.6	47.4
377	392	670.6	41.8
377	392	655.6	40
377	392	641.3	46.2
280.5	564.6	693.5	40.1
280.5	564.6	678.5	41.8
280.5	564.6	665.9	39.3
280.5	564.6	652.9	38.5
280.5	564.6	637.9	35.8
280.5	564.6	623.8	37.4
280.5	564.6	593.6	47.5
604.3	173.8	594.5	51.7
604.3	173.8	579.5	49.2
604.3	173.8	564.5	47.7
604.3	173.8	549.5	47.1
604.3	173.8	534.5	44.6
604.3	173.8	519.5	44
604.3	173.8	504.5	42.3
604.3	173.8	489.5	39
604.3	173.8	474.5	40.2
604.3	173.8	431.3	28.8
512.2	346.6	601.6	49
512.2	346.6	586.6	45.6
512.2	346.6	571.6	40.9
512.2	346.6	529.1	43.9
512.2	346.6	493.3	41.7
424	523.5	704.8	45.2
424	523.5	689.8	41.8
424	523.5	674.8	39.8
424	523.5	659.8	41.6
424	523.5	644.8	41
424	523.5	629.8	39.3
424	523.5	614.8	38.5
424	523.5	591	53.4
424	523.5	576	56.9
424	523.5	561	42.2
424	523.5	546	34.8
424	523.5	531.7	35.9
332.8	699.2	618	54.4
332.8	699.2	606	44.5
332.8	699.2	591	39.9
332.8	699.2	576	39.3
332.8	699.2	563.7	38.3
332.8	699.2	528.7	45.9
332.8	699.2	477.6	39.2
695.8	216	593.7	55.2
695.8	216	578.7	53.9
695.8	216	563.7	51.4
695.8	216	548.7	46.8
695.8	216	533.7	46.8
695.8	216	518.7	48.9
695.8	216	503.7	44.1
695.8	216	488.7	45.2
695.8	216	473.7	42.7
652.6	304.3	633.4	62.8
652.6	304.3	579	49.6
652.6	304.3	564	54.6
652.6	304.3	549	51.5
652.6	304.3	534	45.2
652.6	304.3	519	42.9
652.6	304.3	504	41.9
652.6	304.3	489	40.2
652.6	304.3	477	40
462.2	661	640.1	42.2
462.2	661	625.1	44.2
462.2	661	610.1	37.9
462.2	661	595.1	38.8
462.2	661	580.1	37.8
462.2	661	565.5	39.3
462.2	661	546.8	38.6
462.2	661	506.6	38
693.7	440	563.7	61
693.7	440	548.7	52.6
693.7	440	533.7	48.3
693.7	440	518.9	46.4
693.7	440	459.5	45.2
693.7	440	445.4	48.2
693.7	440	410.6	47
595.8	618.4	627.4	46.5
595.8	618.4	612.4	39.2
595.8	618.4	597.4	44.1
595.8	618.4	582.4	46.9
595.8	618.4	567.4	44
595.8	618.4	552.4	41.8
595.8	618.4	537.4	38
595.8	618.4	522.4	38.3
595.8	618.4	507.4	38
595.8	618.4	492.4	37.5
503.2	795	621.7	46.3
503.2	795	606.7	45.6
503.2	795	591.7	45.9
503.2	795	576.7	42
503.2	795	561.7	42.3
503.2	795	540	38.6
503.2	795	525	38.4
503.2	795	510	39.8
503.2	795	495	40.7
503.2	795	411.7	42
503.2	795	399.6	49.6
503.2	795	376.5	42.9
503.2	795	364.3	40.2
835.2	403.5	576.8	60.8
835.2	403.5	558.1	57.6
835.2	403.5	543.1	50.2
835.2	403.5	528.1	50.2
835.2	403.5	513.9	56.4
835.2	403.5	498.2	56.6
835.2	403.5	483.2	55.7
835.2	403.5	468.2	43.1
835.2	403.5	429.2	44.1
835.2	403.5	414.2	39.9
835.2	403.5	399.2	41
835.2	403.5	384.2	44.1
835.2	403.5	369.2	44.1
835.2	403.5	317.1	42.6
730.8	577.8	553.5	42.6
730.8	577.8	538.5	45.3
730.8	577.8	498.4	53.7
730.8	577.8	471.1	41.2
730.8	577.8	456.1	42.5
730.8	577.8	441.1	45.7
730.8	577.8	415.9	47.8
730.8	577.8	400.9	44.4
730.8	577.8	385.9	36
730.8	577.8	370.9	41.4
730.8	577.8	357.2	42.4
730.8	577.8	294.1	36.9
730.8	577.8	281.4	36.5
638	753.8	653.6	55.8
638	753.8	638.6	51.7
638	753.8	620.4	41.6
638	753.8	605.4	42.3
638	753.8	590.4	41.6
638	753.8	575.4	37.8
638	753.8	560.4	34.4
638	753.8	535.9	36.4
638	753.8	520.9	32.6
638	753.8	505.9	35.6
638	753.8	490.9	37.2
638	753.8	477.6	35.3
544.8	930.4	509.8	48.7
544.8	930.4	497.6	51.1
872.2	537.8	521	57.8
872.2	537.8	508.8	57.8
872.2	537.8	496.1	55.4
872.2	537.8	474.4	57.3
872.2	537.8	459.4	54.5
872.2	537.8	444.4	54
872.2	537.8	429.4	53.4
872.2	537.8	414.4	48.3
872.2	537.8	399.4	45.1
872.2	537.8	386.4	52.5
872.2	537.8	356.1	46.6
775	712	594.1	55.4
775	712	579.1	52.9
775	712	534.3	52.3
775	712	521.1	51.2
775	712	484.2	50.4
775	712	469.2	46.8
775	712	454.2	46.1
775	712	439.2	39
775	712	288.1	37.5
775	712	269.6	35.9
689	890.3	616.9	45.8
689	890.3	601.1	43.3
689	890.3	537.3	48.2
689	890.3	525.1	38
996	494	506	53
996	494	491	53
996	494	476	47.9
996	494	461	49.8
996	494	446.9	51.9
996	494	429.4	62.3
996	494	414.4	63
996	494	399.4	51.2
996	494	384.4	59.5
996	494	369.4	46.1
996	494	354.4	49.9
996	494	339.4	53.2
996	494	328	54.1
996	494	304.3	45.9
996	494	289.3	43.5
996	494	274.3	46.4
996	494	259.3	47.2
996	494	246.6	42.5
910	671.6	511.5	48.9
910	671.6	496.5	51.7
910	671.6	481.5	46.7
910	671.6	466.7	43.1
910	671.6	444	45.9
910	671.6	344.2	43
910	671.6	329.2	46.4
910	671.6	308.1	54.7
910	671.6	294.8	50
910	671.6	275.8	46.6
910	671.6	220.9	36.4
812.7	847.9	616.7	54.4
812.7	847.9	601.7	50
812.7	847.9	589	47.9
812.7	847.9	572.8	44.1
812.7	847.9	557.8	44.4
812.7	847.9	542.8	44.2
812.7	847.9	388.3	39.3
812.7	847.9	373.3	34.3
812.7	847.9	358.3	33.1
812.7	847.9	343.3	37.8
1048	632.7	480.5	47.8
1048	632.7	465.5	45.8
1048	632.7	450.5	44
1048	632.7	435.5	41.7
1048	632.7	420.5	43.5
1048	632.7	405.5	42.9
1048	632.7	390.5	48.3
1048	632.7	375.5	54.5
1048	632.7	360.5	55.2
1048	632.7	345.5	57.3
1048	632.7	330.5	60.3
1048	632.7	315.5	47.7
1048	632.7	300.5	48.8
952	810	513.2	44.1
952	810	498.2	47.1
952	810	483.2	49.9
952	810	468.2	43.1
952	810	453.2	42.4
952	810	424.2	53.4
1172.4	592	488.9	53.2
1172.4	592	472.8	53.1
1172.4	592	448.6	42.3
1172.4	592	433.6	41.6
1172.4	592	418.6	39.9
1172.4	592	403.6	42.7
1172.4	592	391.8	52.4
1172.4	592	181.8	52.9
1172.4	592	159	53.3
1097	769.1	506.4	58.5
1097	769.1	491.4	50.5
1097	769.1	476.4	50.5
1097	769.1	379.8	58.4
1097	769.1	225.8	45.9
1097	769.1	193.6	45.2
990.3	938.8	570.9	47.7
990.3	938.8	537.2	52.6
990.3	938.8	522.2	41.5
990.3	938.8	507.5	40.3
990.3	938.8	488.4	40.4
990.3	938.8	473.4	38.7
990.3	938.8	458.4	39.6
990.3	938.8	443.4	39.4
990.3	938.8	428.4	39
990.3	938.8	413.4	39
990.3	938.8	402.1	37.5
990.3	938.8	377	38.7
990.3	938.8	319.1	32.2
1313	561	479.4	37.3
1313	561	458.6	42.3
1313	561	443.6	41.3
1313	561	428.6	35.7
1270.9	639.9	478.3	56.3
1270.9	639.9	451.1	43.4
1270.9	639.9	436.1	45
1270.9	639.9	414.5	44.3
1270.9	639.9	397.5	40.9
1270.9	639.9	382.5	39.7
1270.9	639.9	367.5	41
1270.9	639.9	353.4	49.1
1224.4	729.1	380.4	52.1
1224.4	729.1	365.4	45.9
1224.4	729.1	350.4	42.8
1224.4	729.1	335.4	40.3
1224.4	729.1	320.4	48
1224.4	729.1	305.4	50.8
1224.4	729.1	293.7	46.7
1224.4	729.1	272	44.3
1224.4	729.1	257	50.8
1224.4	729.1	242	49.9
1224.4	729.1	227	46.6
1224.4	729.1	210.8	54.8
1224.4	729.1	195.8	47.6
1224.4	729.1	180.8	44.4
1224.4	729.1	165.8	43.2
1224.4	729.1	150.8	47.2
1224.4	729.1	135.8	54.5
1224.4	729.1	120.8	53.3
1224.4	729.1	105.8	45.9
1130	895	480.7	46.9
1130	895	399.8	47.6
1130	895	384.8	46.8
1130	895	369.8	42.1
1130	895	354.9	39.6
1397.1	600.4	492.8	42.9
1397.1	600.4	477.8	40.9
1397.1	600.4	462.8	41
1397.1	600.4	447.8	42.9
1397.1	600.4	428.2	40
1356.9	693	464.6	54.1
1356.9	693	449.6	55.7
1356.9	693	400.2	50.5
1356.9	693	381.9	54
1356.9	693	361.8	60.3
1356.9	693	349.3	38.7
1356.9	693	334.3	40.2
1356.9	693	319.3	41.4
1356.9	693	304.3	46
1356.9	693	292.3	53.4
1308	768	308.1	47.4
1308	768	293.1	46.4
1308	768	278.1	49.5
1308	768	197.4	58.2
1308	768	182.4	48.9
1271	853	418.8	56.5
1271	853	393	55.8
1271	853	378	59.1
1271	853	363	47.5
1271	853	348	43
1271	853	334.5	39.7
1271	853	320.8	37
1211	943	513.8	52.9
1211	943	498.8	47.5
1211	943	483.8	53.8
1211	943	430.4	53
1211	943	415.4	47.5
1211	943	307.4	43
1211	943	295.1	42
1211	943	261.6	40.2
1529.2	563.1	481.3	48.1
1529.2	563.1	262	60.9
